"nome principal","quantia","variação 1","variação 2","variação 3","variação 4","variação 5","variação 6","variação 7","variação 8","variação 9","variação 10","variação 11","variação 12","variação 13","variação 14","variação 15","variação 16","variação 17","variação 18","variação 19","variação 20","variação 21","variação 22","variação 23","variação 24","variação 25","variação 26","variação 27","variação 28","variação 29","variação 30","variação 31","variação 32","variação 33","variação 34","variação 35","variação 36","variação 37","variação 38","variação 39","variação 40","variação 41","variação 42","variação 43","variação 44","variação 45","variação 46","variação 47","variação 48","variação 49","variação 50","variação 51","variação 52","variação 53"
"Guimarães, EF","5566","E.F.Guimarães","E.Guimarães","E..F.Guimarães","Guimarães, E","Guimarães, E. F.","E. Guimarães","E.F. Guimarães","D. Guimarães","Guimarães, E.F.","Guimarães, E.","Guimarães. E.","Guimarães, E F","Guimarães","E. F. Guimarães","E. F. Guimaraes","E.F. Guimarães,","GuimarÃ£es, E.F.","E.F. GuimarÃ£es","Guimares, E.F.","E.GuimarÃ£es","Guimarães , E.F.","F. Guimarães","Elsie F.Guimarães","Guimrães, E.F.","Guimarães, E.F","Guimarães E.F.","Guimarães, E.L.","E.F.Guimaraes","E. F. Guimrães","E. guimarães","E. Guimaraes","Elsi F. Guimarães","E.T.Guimarães","E.F. Guimaraes","E.F. Guimares","E.F. Gimaraes","Guimaraes, E. F.","E. Guimaräes","Guimarães, E. .F.","Guimar~eas, E.F.","Guimarães G.S.","E.P. Guimaraes","E.F. Guimrães","E.F. Guiraes","E.F. gumarães","E,.F, Guimarães","E.F, Guimarâes","E.F,Guimaraes","E.F, Guimarães","E.F , Guimarães","E.FGuimarães","Guimarães EF","E.F.GuimarÃ£es"
"Callejas, R","2908","Callejas, R.","Callejas, R.P.","R. Callejas","Pallejas, R.","Calleras, R","R. Cavejas","Callejas","R. Callejas P.","R> Callejas","Calleja, R","R. Callejas, 12/97","R. Callejas,","R Calljas","R. Callajas","R. Calejas","R. Callejas 97","Callejas R. 96","R. Callejas, 83","R. Callejas, 1990r","Collejas, R.","Calleias, R.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carvalho-Silva, M","2386","Carvalho Silva, M.","M.Carvalho Silva","Carvalho Silva, M","M. Carvalho Silva","Carvalho-Silva","Caralho Silva, M.","Carvalho Silva","M. Carvalho - Silva","Carvalho- Silva, M.","Silva; Carvalho, M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T. G. Yuncker","2293","Yuncker, T. G.","Yuncker, T.G.","Yuncker, TG","T.G. Yuncker,","T. Yuncker, G. Pabst","J. G. Yunchker","G Yuncker, T","T. G. Yunker","Yuneker, T. G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R. Callejas Posada","2217","Callejas Posada, R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M. Carvalho-Silva","1437","M.Carvalho-Silva","Carvalho-Silva, M.","M. carvalho-Silva","M Carvalho-Silva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D. Monteiro","1291","D.Monteiro","Monteiro, D","Monteiro, D.","DMonteiro","Dmonteiro","D. F. Monteiro","Monteiro","Dmonteriro","Monteiro, D.M.","H. Monteiro","J. Monteiro","R.Monteiro","D Monteiro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Machado-Silva, T.","1047","Machado- Silva, T","T. Machado-Silva","Machado-Silva","Machado-Silva, T","Macedo-Silva, T.","Macedo-Silva, T","Machado Silva, T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marcusso, GM","1033","G. Marcusso","Marcusso, G.M.","Marcuso, G.M.","G. M. Marcusso","G.M. Marcusso","Marcusso, G. M.","Marcusso, GM26","G.M.Marcusso","Marcusso, G","Marcusso, G.","Marcusso, JM","Marcusso, GM.","Marcussio, G.M.","M. Marcusso","Marcusso, J.M.","Marcusso. G. M","G.Marcusso","G.M. Marcuso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"George Azevedo de Queiroz","773","G. Azevedo de Queiroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
